layer,site_code,category,n,description
AS18_72,CH_009_SO,4,61,Terrains attenants aux maisons individuelles et aux maisons de deux logements
AS18_72,CH_009_SO,5,1,Maisons alignées et en terrasses
AS18_72,CH_009_SO,6,4,Terrains attenants aux maisons alignées et en terrasses
AS18_72,CH_009_SO,7,5,Immeubles résidentiels
AS18_72,CH_009_SO,8,15,Terrains attenants aux immeubles résidentiels
AS18_72,CH_009_SO,9,4,Bâtiments publics
AS18_72,CH_009_SO,10,4,Terrains attenants aux bâtiments publics
AS18_72,CH_009_SO,11,33,Bâtiments agricoles
AS18_72,CH_009_SO,12,38,Terrains attenants aux bâtiments agricoles
AS18_72,CH_009_SO,13,4,Bâtiments non déterminés
AS18_72,CH_009_SO,14,11,Terrains attenants aux bâtiments non déterminés
AS18_72,CH_009_SO,17,102,"Routes, chemins"
AS18_72,CH_009_SO,18,13,Bordures de routes
AS18_72,CH_009_SO,19,1,Aires de parc de stationnement
AS18_72,CH_009_SO,20,5,Aires ferroviaires stabilisées
AS18_72,CH_009_SO,21,1,Bordures de voies ferrées
AS18_72,CH_009_SO,24,1,Installations d'approvisionnement en énergie
AS18_72,CH_009_SO,25,1,Stations d'épuration des eaux usées
AS18_72,CH_009_SO,27,1,Décharges
AS18_72,CH_009_SO,29,2,Chantiers
AS18_72,CH_009_SO,30,1,Friches et bâtiments désaffectés
AS18_72,CH_009_SO,31,3,Parcs publics
AS18_72,CH_009_SO,32,11,Installations de sport
AS18_72,CH_009_SO,33,49,Terrains de golf
AS18_72,CH_009_SO,35,1,Jardins ouvriers
AS18_72,CH_009_SO,36,1,Cimetières
AS18_72,CH_009_SO,37,5,Plantations fruitières
AS18_72,CH_009_SO,38,44,Arbres fruitiers de plein champ
AS18_72,CH_009_SO,39,1,Vignobles
AS18_72,CH_009_SO,40,6,Horticulture
AS18_72,CH_009_SO,41,2371,Terres arables
AS18_72,CH_009_SO,42,155,Prairies naturelles
AS18_72,CH_009_SO,43,393,Pâturages locaux
AS18_72,CH_009_SO,50,1313,Forêt normale
AS18_72,CH_009_SO,51,7,Bande de forêt
AS18_72,CH_009_SO,52,1,Aires afforestées
AS18_72,CH_009_SO,53,75,Coupes de bois
AS18_72,CH_009_SO,54,1,Surfaces forestières dévastées
AS18_72,CH_009_SO,55,1,Forêt clairsemée (sur surfaces agricoles)
AS18_72,CH_009_SO,56,18,Forêt clairsemée (sur surfaces improductives)
AS18_72,CH_009_SO,58,19,"Bosquets, haies"
AS18_72,CH_009_SO,59,4,Groupes d'arbres (sur surfaces agricoles)
AS18_72,CH_009_SO,60,1,Groupes d’arbres (sur surfaces improductives)
AS18_72,CH_009_SO,62,31,Cours d’eau
AS18_72,CH_009_SO,67,1,Zones humides
AS18_72,CH_011_SO,1,13,Bâtiments industriels et artisanaux
AS18_72,CH_011_SO,2,13,Terrains attenants aux bâtiments industriels et artisanaux
AS18_72,CH_011_SO,3,14,Maisons individuelles et maisons de deux logements
AS18_72,CH_011_SO,4,52,Terrains attenants aux maisons individuelles et aux maisons de deux logements
AS18_72,CH_011_SO,6,1,Terrains attenants aux maisons alignées et en terrasses
AS18_72,CH_011_SO,7,3,Immeubles résidentiels
AS18_72,CH_011_SO,8,6,Terrains attenants aux immeubles résidentiels
AS18_72,CH_011_SO,9,1,Bâtiments publics
AS18_72,CH_011_SO,10,3,Terrains attenants aux bâtiments publics
AS18_72,CH_011_SO,11,13,Bâtiments agricoles
AS18_72,CH_011_SO,12,14,Terrains attenants aux bâtiments agricoles
