layer,site_code,category,n,description
AS18_72,Spez_041_GR,50,48,Forêt normale
AS18_72,Spez_041_GR,51,4,Bande de forêt
AS18_72,Spez_041_GR,53,11,Coupes de bois
AS18_72,Spez_041_GR,54,2,Surfaces forestières dévastées
AS18_72,Spez_041_GR,55,5,Forêt clairsemée (sur surfaces agricoles)
AS18_72,Spez_041_GR,56,20,Forêt clairsemée (sur surfaces improductives)
AS18_72,Spez_041_GR,57,13,Forêt buissonnante
AS18_72,Spez_041_GR,58,2,"Bosquets, haies"
AS18_72,Spez_041_GR,59,9,Groupes d'arbres (sur surfaces agricoles)
AS18_72,Spez_041_GR,60,4,Groupes d’arbres (sur surfaces improductives)
AS18_72,Spez_041_GR,62,4,Cours d’eau
AS18_72,Spez_041_GR,64,29,"Arbustes, broussailles"
AS18_72,Spez_041_GR,65,9,Végétation herbacée improductive
AS18_72,Spez_041_GR,66,1,Ouvrages de protection contre les chutes de pierres et paravalanches
AS18_72,Spez_041_GR,67,2,Zones humides
AS18_72,Spez_041_GR,68,1,Infrastructure de sports alpins
AS18_72,Spez_041_GR,69,5,Rochers
AS18_72,Spez_041_GR,70,30,"Eboulis, sable"
AS18_72,Spez_042_GR,4,1,Terrains attenants aux maisons individuelles et aux maisons de deux logements
AS18_72,Spez_042_GR,7,5,Immeubles résidentiels
AS18_72,Spez_042_GR,8,1,Terrains attenants aux immeubles résidentiels
AS18_72,Spez_042_GR,10,1,Terrains attenants aux bâtiments publics
AS18_72,Spez_042_GR,14,1,Terrains attenants aux bâtiments non déterminés
AS18_72,Spez_042_GR,17,6,"Routes, chemins"
AS18_72,Spez_042_GR,18,1,Bordures de routes
AS18_72,Spez_042_GR,19,1,Aires de parc de stationnement
AS18_72,Spez_042_GR,42,21,Prairies naturelles
AS18_72,Spez_042_GR,43,2,Pâturages locaux
AS18_72,Spez_042_GR,45,31,Alpages fauchés
AS18_72,Spez_042_GR,46,556,Alpages favorables
AS18_72,Spez_042_GR,47,15,Alpages embroussaillés
AS18_72,Spez_042_GR,48,42,Alpages rocailleux
AS18_72,Spez_042_GR,49,70,"Alpes à moutons, foins de rocher"
AS18_72,Spez_042_GR,50,101,Forêt normale
AS18_72,Spez_042_GR,51,3,Bande de forêt
AS18_72,Spez_042_GR,53,1,Coupes de bois
AS18_72,Spez_042_GR,54,3,Surfaces forestières dévastées
AS18_72,Spez_042_GR,55,1,Forêt clairsemée (sur surfaces agricoles)
AS18_72,Spez_042_GR,56,18,Forêt clairsemée (sur surfaces improductives)
AS18_72,Spez_042_GR,57,9,Forêt buissonnante
AS18_72,Spez_042_GR,58,3,"Bosquets, haies"
AS18_72,Spez_042_GR,59,8,Groupes d'arbres (sur surfaces agricoles)
AS18_72,Spez_042_GR,60,7,Groupes d’arbres (sur surfaces improductives)
AS18_72,Spez_042_GR,61,2,Lacs
AS18_72,Spez_042_GR,62,16,Cours d’eau
AS18_72,Spez_042_GR,64,7,"Arbustes, broussailles"
AS18_72,Spez_042_GR,65,55,Végétation herbacée improductive
AS18_72,Spez_042_GR,66,1,Ouvrages de protection contre les chutes de pierres et paravalanches
AS18_72,Spez_042_GR,68,12,Infrastructure de sports alpins
AS18_72,Spez_042_GR,69,40,Rochers
AS18_72,Spez_042_GR,70,264,"Eboulis, sable"
AS18_72,Spez_042_GR,71,1,Interventions dans le paysage
AS18_72,Spez_043_JU,1,3,Bâtiments industriels et artisanaux
AS18_72,Spez_043_JU,2,6,Terrains attenants aux bâtiments industriels et artisanaux
AS18_72,Spez_043_JU,3,2,Maisons individuelles et maisons de deux logements
AS18_72,Spez_043_JU,4,9,Terrains attenants aux maisons individuelles et aux maisons de deux logements
AS18_72,Spez_043_JU,8,2,Terrains attenants aux immeubles résidentiels
AS18_72,Spez_043_JU,11,1,Bâtiments agricoles
AS18_72,Spez_043_JU,12,13,Terrains attenants aux bâtiments agricoles
AS18_72,Spez_043_JU,17,15,"Routes, chemins"
AS18_72,Spez_043_JU,18,3,Bordures de routes
AS18_72,Spez_043_JU,19,2,Aires de parc de stationnement
AS18_72,Spez_043_JU,20,3,Aires ferroviaires stabilisées
AS18_72,Spez_043_JU,21,3,Bordures de voies ferrées
AS18_72,Spez_043_JU,32,5,Installations de sport
AS18_72,Spez_043_JU,36,1,Cimetières
AS18_72,Spez_043_JU,38,6,Arbres fruitiers de plein champ
AS18_72,Spez_043_JU,40,1,Horticulture
AS18_72,Spez_043_JU,41,518,Terres arables
AS18_72,Spez_043_JU,42,40,Prairies naturelles
AS18_72,Spez_043_JU,43,64,Pâturages locaux
AS18_72,Spez_043_JU,44,1,Prés et pâturages locaux embroussaillés
AS18_72,Spez_043_JU,50,286,Forêt normale
AS18_72,Spez_043_JU,51,3,Bande de forêt
AS18_72,Spez_043_JU,53,15,Coupes de bois
AS18_72,Spez_043_JU,54,1,Surfaces forestières dévastées
AS18_72,Spez_043_JU,56,3,Forêt clairsemée (sur surfaces improductives)
AS18_72,Spez_043_JU,58,6,"Bosquets, haies"
AS18_72,Spez_043_JU,59,2,Groupes d'arbres (sur surfaces agricoles)
AS18_72,Spez_043_JU,61,5,Lacs
AS18_72,Spez_043_JU,67,2,Zones humides
AS18_72,Spez_044_JU,2,3,Terrains attenants aux bâtiments industriels et artisanaux
AS18_72,Spez_044_JU,3,2,Maisons individuelles et maisons de deux logements
AS18_72,Spez_044_JU,4,12,Terrains attenants aux maisons individuelles et aux maisons de deux logements
AS18_72,Spez_044_JU,7,1,Immeubles résidentiels
AS18_72,Spez_044_JU,11,1,Bâtiments agricoles
AS18_72,Spez_044_JU,12,5,Terrains attenants aux bâtiments agricoles
AS18_72,Spez_044_JU,13,1,Bâtiments non déterminés
AS18_72,Spez_044_JU,14,7,Terrains attenants aux bâtiments non déterminés
AS18_72,Spez_044_JU,17,16,"Routes, chemins"
AS18_72,Spez_044_JU,18,5,Bordures de routes
AS18_72,Spez_044_JU,25,2,Stations d'épuration des eaux usées
AS18_72,Spez_044_JU,26,1,Autres installations d'approvisionnement et d'élimination
AS18_72,Spez_044_JU,29,1,Chantiers
AS18_72,Spez_044_JU,32,1,Installations de sport
AS18_72,Spez_044_JU,37,4,Plantations fruitières
AS18_72,Spez_044_JU,38,32,Arbres fruitiers de plein champ
AS18_72,Spez_044_JU,41,133,Terres arables
AS18_72,Spez_044_JU,42,100,Prairies naturelles
AS18_72,Spez_044_JU,43,126,Pâturages locaux
AS18_72,Spez_044_JU,44,1,Prés et pâturages locaux embroussaillés
AS18_72,Spez_044_JU,46,43,Alpages favorables
AS18_72,Spez_044_JU,50,536,Forêt normale
AS18_72,Spez_044_JU,51,10,Bande de forêt
AS18_72,Spez_044_JU,52,2,Aires afforestées
AS18_72,Spez_044_JU,53,72,Coupes de bois
AS18_72,Spez_044_JU,55,1,Forêt clairsemée (sur surfaces agricoles)
AS18_72,Spez_044_JU,56,5,Forêt clairsemée (sur surfaces improductives)
AS18_72,Spez_044_JU,58,10,"Bosquets, haies"
AS18_72,Spez_044_JU,59,13,Groupes d'arbres (sur surfaces agricoles)
AS18_72,Spez_044_JU,61,3,Lacs
AS18_72,Spez_044_JU,62,4,Cours d’eau
AS18_72,Spez_044_JU,64,1,"Arbustes, broussailles"
AS18_72,Spez_044_JU,67,2,Zones humides
AS18_72,Spez_044_JU,69,1,Rochers
AS18_72,Spez_045_JU,1,1,Bâtiments industriels et artisanaux
AS18_72,Spez_045_JU,2,3,Terrains attenants aux bâtiments industriels et artisanaux
AS18_72,Spez_045_JU,3,4,Maisons individuelles et maisons de deux logements
AS18_72,Spez_045_JU,4,20,Terrains attenants aux maisons individuelles et aux maisons de deux logements
AS18_72,Spez_045_JU,7,1,Immeubles résidentiels
AS18_72,Spez_045_JU,8,1,Terrains attenants aux immeubles résidentiels
AS18_72,Spez_045_JU,10,1,Terrains attenants aux bâtiments publics
AS18_72,Spez_045_JU,11,6,Bâtiments agricoles
AS18_72,Spez_045_JU,12,10,Terrains attenants aux bâtiments agricoles
AS18_72,Spez_045_JU,13,1,Bâtiments non déterminés
AS18_72,Spez_045_JU,14,2,Terrains attenants aux bâtiments non déterminés
AS18_72,Spez_045_JU,17,31,"Routes, chemins"
AS18_72,Spez_045_JU,29,1,Chantiers
AS18_72,Spez_045_JU,31,1,Parcs publics
AS18_72,Spez_045_JU,32,3,Installations de sport
AS18_72,Spez_045_JU,38,18,Arbres fruitiers de plein champ
AS18_72,Spez_045_JU,41,211,Terres arables
AS18_72,Spez_045_JU,42,183,Prairies naturelles
AS18_72,Spez_045_JU,43,97,Pâturages locaux
AS18_72,Spez_045_JU,44,1,Prés et pâturages locaux embroussaillés
AS18_72,Spez_045_JU,46,403,Alpages favorables
AS18_72,Spez_045_JU,47,5,Alpages embroussaillés
AS18_72,Spez_045_JU,48,1,Alpages rocailleux
AS18_72,Spez_045_JU,50,817,Forêt normale
AS18_72,Spez_045_JU,51,27,Bande de forêt
AS18_72,Spez_045_JU,53,47,Coupes de bois
AS18_72,Spez_045_JU,54,1,Surfaces forestières dévastées
AS18_72,Spez_045_JU,55,14,Forêt clairsemée (sur surfaces agricoles)
AS18_72,Spez_045_JU,58,13,"Bosquets, haies"
AS18_72,Spez_045_JU,59,33,Groupes d'arbres (sur surfaces agricoles)
AS18_72,Spez_045_JU,62,5,Cours d’eau
AS18_72,Spez_045_JU,64,1,"Arbustes, broussailles"
AS18_72,Spez_045_JU,65,1,Végétation herbacée improductive
AS18_72,Spez_045_JU,69,1,Rochers
AS18_72,Spez_046_LU,1,2,Bâtiments industriels et artisanaux
AS18_72,Spez_046_LU,2,3,Terrains attenants aux bâtiments industriels et artisanaux
AS18_72,Spez_046_LU,3,6,Maisons individuelles et maisons de deux logements
AS18_72,Spez_046_LU,4,12,Terrains attenants aux maisons individuelles et aux maisons de deux logements
AS18_72,Spez_046_LU,5,2,Maisons alignées et en terrasses
AS18_72,Spez_046_LU,8,4,Terrains attenants aux immeubles résidentiels
AS18_72,Spez_046_LU,9,1,Bâtiments publics
AS18_72,Spez_046_LU,10,1,Terrains attenants aux bâtiments publics
AS18_72,Spez_046_LU,11,5,Bâtiments agricoles
AS18_72,Spez_046_LU,12,8,Terrains attenants aux bâtiments agricoles
AS18_72,Spez_046_LU,13,2,Bâtiments non déterminés
AS18_72,Spez_046_LU,14,1,Terrains attenants aux bâtiments non déterminés
AS18_72,Spez_046_LU,17,14,"Routes, chemins"
AS18_72,Spez_046_LU,18,1,Bordures de routes
AS18_72,Spez_046_LU,19,1,Aires de parc de stationnement
AS18_72,Spez_046_LU,20,1,Aires ferroviaires stabilisées
AS18_72,Spez_046_LU,32,1,Installations de sport
AS18_72,Spez_046_LU,38,12,Arbres fruitiers de plein champ
AS18_72,Spez_046_LU,40,2,Horticulture
AS18_72,Spez_046_LU,41,181,Terres arables
AS18_72,Spez_046_LU,42,45,Prairies naturelles
AS18_72,Spez_046_LU,43,36,Pâturages locaux
AS18_72,Spez_046_LU,50,44,Forêt normale
AS18_72,Spez_046_LU,51,4,Bande de forêt
AS18_72,Spez_046_LU,53,3,Coupes de bois
AS18_72,Spez_046_LU,58,5,"Bosquets, haies"
AS18_72,Spez_046_LU,59,3,Groupes d'arbres (sur surfaces agricoles)
AS18_72,Spez_046_LU,62,1,Cours d’eau
AS18_72,Spez_047_LU,1,1,Bâtiments industriels et artisanaux
AS18_72,Spez_047_LU,2,1,Terrains attenants aux bâtiments industriels et artisanaux
AS18_72,Spez_047_LU,4,3,Terrains attenants aux maisons individuelles et aux maisons de deux logements
AS18_72,Spez_047_LU,7,1,Immeubles résidentiels
AS18_72,Spez_047_LU,8,1,Terrains attenants aux immeubles résidentiels
AS18_72,Spez_047_LU,11,6,Bâtiments agricoles
AS18_72,Spez_047_LU,12,12,Terrains attenants aux bâtiments agricoles
AS18_72,Spez_047_LU,13,1,Bâtiments non déterminés
AS18_72,Spez_047_LU,17,15,"Routes, chemins"
AS18_72,Spez_047_LU,18,1,Bordures de routes
AS18_72,Spez_047_LU,27,1,Décharges
AS18_72,Spez_047_LU,38,32,Arbres fruitiers de plein champ
AS18_72,Spez_047_LU,41,374,Terres arables
AS18_72,Spez_047_LU,42,118,Prairies naturelles
AS18_72,Spez_047_LU,43,180,Pâturages locaux
AS18_72,Spez_047_LU,44,1,Prés et pâturages locaux embroussaillés
AS18_72,Spez_047_LU,50,90,Forêt normale
AS18_72,Spez_047_LU,51,11,Bande de forêt
AS18_72,Spez_047_LU,53,9,Coupes de bois
AS18_72,Spez_047_LU,56,1,Forêt clairsemée (sur surfaces improductives)
AS18_72,Spez_047_LU,58,14,"Bosquets, haies"
AS18_72,Spez_047_LU,59,4,Groupes d'arbres (sur surfaces agricoles)
AS18_72,Spez_047_LU,62,2,Cours d’eau
AS18_72,Spez_047_LU,67,1,Zones humides
AS18_72,Spez_048_LU,1,17,Bâtiments industriels et artisanaux
AS18_72,Spez_048_LU,2,21,Terrains attenants aux bâtiments industriels et artisanaux
AS18_72,Spez_048_LU,3,25,Maisons individuelles et maisons de deux logements
AS18_72,Spez_048_LU,4,88,Terrains attenants aux maisons individuelles et aux maisons de deux logements
AS18_72,Spez_048_LU,5,5,Maisons alignées et en terrasses
AS18_72,Spez_048_LU,6,16,Terrains attenants aux maisons alignées et en terrasses
AS18_72,Spez_048_LU,7,28,Immeubles résidentiels
AS18_72,Spez_048_LU,8,93,Terrains attenants aux immeubles résidentiels
AS18_72,Spez_048_LU,9,10,Bâtiments publics
AS18_72,Spez_048_LU,10,15,Terrains attenants aux bâtiments publics
AS18_72,Spez_048_LU,11,13,Bâtiments agricoles
AS18_72,Spez_048_LU,12,15,Terrains attenants aux bâtiments agricoles
AS18_72,Spez_048_LU,13,4,Bâtiments non déterminés
AS18_72,Spez_048_LU,14,15,Terrains attenants aux bâtiments non déterminés
AS18_72,Spez_048_LU,17,100,"Routes, chemins"
AS18_72,Spez_048_LU,18,10,Bordures de routes
AS18_72,Spez_048_LU,19,19,Aires de parc de stationnement
AS18_72,Spez_048_LU,20,8,Aires ferroviaires stabilisées
AS18_72,Spez_048_LU,21,5,Bordures de voies ferrées
AS18_72,Spez_048_LU,24,1,Installations d'approvisionnement en énergie
AS18_72,Spez_048_LU,26,1,Autres installations d'approvisionnement et d'élimination
AS18_72,Spez_048_LU,29,16,Chantiers
AS18_72,Spez_048_LU,31,10,Parcs publics
AS18_72,Spez_048_LU,32,16,Installations de sport
AS18_72,Spez_048_LU,33,15,Terrains de golf
AS18_72,Spez_048_LU,35,14,Jardins ouvriers
AS18_72,Spez_048_LU,36,9,Cimetières
AS18_72,Spez_048_LU,37,11,Plantations fruitières
AS18_72,Spez_048_LU,38,20,Arbres fruitiers de plein champ
AS18_72,Spez_048_LU,39,2,Vignobles
AS18_72,Spez_048_LU,40,23,Horticulture
AS18_72,Spez_048_LU,41,82,Terres arables
AS18_72,Spez_048_LU,42,314,Prairies naturelles
AS18_72,Spez_048_LU,43,165,Pâturages locaux
AS18_72,Spez_048_LU,44,2,Prés et pâturages locaux embroussaillés
AS18_72,Spez_048_LU,50,243,Forêt normale
AS18_72,Spez_048_LU,51,24,Bande de forêt
AS18_72,Spez_048_LU,53,5,Coupes de bois
AS18_72,Spez_048_LU,54,1,Surfaces forestières dévastées
AS18_72,Spez_048_LU,56,5,Forêt clairsemée (sur surfaces improductives)
AS18_72,Spez_048_LU,58,24,"Bosquets, haies"
AS18_72,Spez_048_LU,59,12,Groupes d'arbres (sur surfaces agricoles)
AS18_72,Spez_048_LU,60,3,Groupes d’arbres (sur surfaces improductives)
AS18_72,Spez_048_LU,61,48,Lacs
AS18_72,Spez_048_LU,62,17,Cours d’eau
AS18_72,Spez_048_LU,65,1,Végétation herbacée improductive
AS18_72,Spez_048_LU,67,6,Zones humides
AS18_72,Spez_049_LU,1,1,Bâtiments industriels et artisanaux
AS18_72,Spez_049_LU,2,4,Terrains attenants aux bâtiments industriels et artisanaux
AS18_72,Spez_049_LU,3,6,Maisons individuelles et maisons de deux logements
AS18_72,Spez_049_LU,4,17,Terrains attenants aux maisons individuelles et aux maisons de deux logements
AS18_72,Spez_049_LU,6,1,Terrains attenants aux maisons alignées et en terrasses
AS18_72,Spez_049_LU,7,1,Immeubles résidentiels
AS18_72,Spez_049_LU,8,5,Terrains attenants aux immeubles résidentiels
AS18_72,Spez_049_LU,9,2,Bâtiments publics
AS18_72,Spez_049_LU,10,1,Terrains attenants aux bâtiments publics
AS18_72,Spez_049_LU,11,7,Bâtiments agricoles
AS18_72,Spez_049_LU,12,15,Terrains attenants aux bâtiments agricoles
AS18_72,Spez_049_LU,14,1,Terrains attenants aux bâtiments non déterminés
AS18_72,Spez_049_LU,17,9,"Routes, chemins"
AS18_72,Spez_049_LU,19,1,Aires de parc de stationnement
AS18_72,Spez_049_LU,32,3,Installations de sport
AS18_72,Spez_049_LU,35,1,Jardins ouvriers
AS18_72,Spez_049_LU,37,2,Plantations fruitières
AS18_72,Spez_049_LU,38,23,Arbres fruitiers de plein champ
AS18_72,Spez_049_LU,41,208,Terres arables
AS18_72,Spez_049_LU,42,119,Prairies naturelles
AS18_72,Spez_049_LU,43,104,Pâturages locaux
AS18_72,Spez_049_LU,50,61,Forêt normale
AS18_72,Spez_049_LU,51,2,Bande de forêt
AS18_72,Spez_049_LU,56,5,Forêt clairsemée (sur surfaces improductives)
AS18_72,Spez_049_LU,58,8,"Bosquets, haies"
AS18_72,Spez_049_LU,59,1,Groupes d'arbres (sur surfaces agricoles)
AS18_72,Spez_049_LU,62,2,Cours d’eau
AS18_72,Spez_049_LU,71,1,Interventions dans le paysage
AS18_72,Spez_050_LU,1,1,Bâtiments industriels et artisanaux
AS18_72,Spez_050_LU,2,3,Terrains attenants aux bâtiments industriels et artisanaux
AS18_72,Spez_050_LU,3,4,Maisons individuelles et maisons de deux logements
AS18_72,Spez_050_LU,4,26,Terrains attenants aux maisons individuelles et aux maisons de deux logements
AS18_72,Spez_050_LU,7,1,Immeubles résidentiels
AS18_72,Spez_050_LU,8,6,Terrains attenants aux immeubles résidentiels
AS18_72,Spez_050_LU,9,3,Bâtiments publics
AS18_72,Spez_050_LU,10,1,Terrains attenants aux bâtiments publics
AS18_72,Spez_050_LU,11,10,Bâtiments agricoles
AS18_72,Spez_050_LU,12,24,Terrains attenants aux bâtiments agricoles
AS18_72,Spez_050_LU,13,1,Bâtiments non déterminés
AS18_72,Spez_050_LU,14,5,Terrains attenants aux bâtiments non déterminés
AS18_72,Spez_050_LU,17,37,"Routes, chemins"
AS18_72,Spez_050_LU,18,2,Bordures de routes
AS18_72,Spez_050_LU,19,2,Aires de parc de stationnement
AS18_72,Spez_050_LU,29,2,Chantiers
AS18_72,Spez_050_LU,32,2,Installations de sport
AS18_72,Spez_050_LU,36,1,Cimetières
AS18_72,Spez_050_LU,38,16,Arbres fruitiers de plein champ
AS18_72,Spez_050_LU,40,2,Horticulture
AS18_72,Spez_050_LU,41,284,Terres arables
AS18_72,Spez_050_LU,42,345,Prairies naturelles
AS18_72,Spez_050_LU,43,113,Pâturages locaux
AS18_72,Spez_050_LU,50,103,Forêt normale
AS18_72,Spez_050_LU,51,12,Bande de forêt
AS18_72,Spez_050_LU,53,1,Coupes de bois
AS18_72,Spez_050_LU,58,27,"Bosquets, haies"
AS18_72,Spez_050_LU,59,5,Groupes d'arbres (sur surfaces agricoles)
AS18_72,Spez_050_LU,60,1,Groupes d’arbres (sur surfaces improductives)
AS18_72,Spez_050_LU,62,2,Cours d’eau
AS18_72,Spez_050_LU,67,1,Zones humides
AS18_72,Spez_051_LU,2,8,Terrains attenants aux bâtiments industriels et artisanaux
AS18_72,Spez_051_LU,3,13,Maisons individuelles et maisons de deux logements
AS18_72,Spez_051_LU,4,49,Terrains attenants aux maisons individuelles et aux maisons de deux logements
AS18_72,Spez_051_LU,5,6,Maisons alignées et en terrasses
AS18_72,Spez_051_LU,6,9,Terrains attenants aux maisons alignées et en terrasses
AS18_72,Spez_051_LU,7,13,Immeubles résidentiels
AS18_72,Spez_051_LU,8,53,Terrains attenants aux immeubles résidentiels
AS18_72,Spez_051_LU,9,2,Bâtiments publics
AS18_72,Spez_051_LU,10,3,Terrains attenants aux bâtiments publics
AS18_72,Spez_051_LU,11,2,Bâtiments agricoles
AS18_72,Spez_051_LU,12,11,Terrains attenants aux bâtiments agricoles
AS18_72,Spez_051_LU,13,1,Bâtiments non déterminés
AS18_72,Spez_051_LU,14,2,Terrains attenants aux bâtiments non déterminés
AS18_72,Spez_051_LU,17,36,"Routes, chemins"
AS18_72,Spez_051_LU,18,4,Bordures de routes
AS18_72,Spez_051_LU,19,7,Aires de parc de stationnement
AS18_72,Spez_051_LU,29,2,Chantiers
AS18_72,Spez_051_LU,30,1,Friches et bâtiments désaffectés
AS18_72,Spez_051_LU,31,4,Parcs publics
AS18_72,Spez_051_LU,32,4,Installations de sport
AS18_72,Spez_051_LU,33,11,Terrains de golf
AS18_72,Spez_051_LU,34,1,Terrains de camping
AS18_72,Spez_051_LU,38,15,Arbres fruitiers de plein champ
AS18_72,Spez_051_LU,40,8,Horticulture
AS18_72,Spez_051_LU,41,49,Terres arables
AS18_72,Spez_051_LU,42,246,Prairies naturelles
AS18_72,Spez_051_LU,43,69,Pâturages locaux
AS18_72,Spez_051_LU,50,277,Forêt normale
AS18_72,Spez_051_LU,51,11,Bande de forêt
AS18_72,Spez_051_LU,53,18,Coupes de bois
AS18_72,Spez_051_LU,56,13,Forêt clairsemée (sur surfaces improductives)
AS18_72,Spez_051_LU,58,7,"Bosquets, haies"
AS18_72,Spez_051_LU,59,4,Groupes d'arbres (sur surfaces agricoles)
AS18_72,Spez_051_LU,61,2,Lacs
AS18_72,Spez_051_LU,62,1,Cours d’eau
AS18_72,Spez_051_LU,67,17,Zones humides
AS18_72,Spez_052_NE,1,3,Bâtiments industriels et artisanaux
AS18_72,Spez_052_NE,2,11,Terrains attenants aux bâtiments industriels et artisanaux
AS18_72,Spez_052_NE,3,18,Maisons individuelles et maisons de deux logements
AS18_72,Spez_052_NE,4,58,Terrains attenants aux maisons individuelles et aux maisons de deux logements
AS18_72,Spez_052_NE,5,1,Maisons alignées et en terrasses
AS18_72,Spez_052_NE,6,3,Terrains attenants aux maisons alignées et en terrasses
AS18_72,Spez_052_NE,7,6,Immeubles résidentiels
AS18_72,Spez_052_NE,8,14,Terrains attenants aux immeubles résidentiels
AS18_72,Spez_052_NE,9,2,Bâtiments publics
AS18_72,Spez_052_NE,10,10,Terrains attenants aux bâtiments publics
AS18_72,Spez_052_NE,11,14,Bâtiments agricoles
AS18_72,Spez_052_NE,12,33,Terrains attenants aux bâtiments agricoles
AS18_72,Spez_052_NE,13,2,Bâtiments non déterminés
AS18_72,Spez_052_NE,14,6,Terrains attenants aux bâtiments non déterminés
AS18_72,Spez_052_NE,17,58,"Routes, chemins"
AS18_72,Spez_052_NE,18,9,Bordures de routes
AS18_72,Spez_052_NE,19,9,Aires de parc de stationnement
AS18_72,Spez_052_NE,26,1,Autres installations d'approvisionnement et d'élimination
AS18_72,Spez_052_NE,28,3,Extraction de matériaux
AS18_72,Spez_052_NE,29,4,Chantiers
AS18_72,Spez_052_NE,30,6,Friches et bâtiments désaffectés
AS18_72,Spez_052_NE,31,3,Parcs publics
AS18_72,Spez_052_NE,32,6,Installations de sport
AS18_72,Spez_052_NE,36,1,Cimetières
AS18_72,Spez_052_NE,37,2,Plantations fruitières
AS18_72,Spez_052_NE,38,8,Arbres fruitiers de plein champ
AS18_72,Spez_052_NE,40,1,Horticulture
AS18_72,Spez_052_NE,41,594,Terres arables
AS18_72,Spez_052_NE,42,904,Prairies naturelles
AS18_72,Spez_052_NE,43,471,Pâturages locaux
AS18_72,Spez_052_NE,44,2,Prés et pâturages locaux embroussaillés
AS18_72,Spez_052_NE,46,593,Alpages favorables
AS18_72,Spez_052_NE,47,5,Alpages embroussaillés
AS18_72,Spez_052_NE,48,1,Alpages rocailleux
AS18_72,Spez_052_NE,50,1888,Forêt normale
AS18_72,Spez_052_NE,51,46,Bande de forêt
AS18_72,Spez_052_NE,53,54,Coupes de bois
AS18_72,Spez_052_NE,54,3,Surfaces forestières dévastées
AS18_72,Spez_052_NE,55,68,Forêt clairsemée (sur surfaces agricoles)
AS18_72,Spez_052_NE,56,14,Forêt clairsemée (sur surfaces improductives)
AS18_72,Spez_052_NE,58,80,"Bosquets, haies"
AS18_72,Spez_052_NE,59,112,Groupes d'arbres (sur surfaces agricoles)
AS18_72,Spez_052_NE,61,1,Lacs
AS18_72,Spez_052_NE,62,3,Cours d’eau
AS18_72,Spez_052_NE,65,1,Végétation herbacée improductive
AS18_72,Spez_052_NE,67,1,Zones humides
AS18_72,Spez_052_NE,69,1,Rochers
AS18_72,Spez_052_NE,70,1,"Eboulis, sable"
AS18_72,Spez_052_NE,71,2,Interventions dans le paysage
AS18_72,Spez_053_NE,8,1,Terrains attenants aux immeubles résidentiels
AS18_72,Spez_053_NE,12,1,Terrains attenants aux bâtiments agricoles
AS18_72,Spez_053_NE,16,1,Bordures d'autoroutes
AS18_72,Spez_053_NE,17,8,"Routes, chemins"
AS18_72,Spez_053_NE,18,1,Bordures de routes
AS18_72,Spez_053_NE,20,1,Aires ferroviaires stabilisées
AS18_72,Spez_053_NE,21,1,Bordures de voies ferrées
AS18_72,Spez_053_NE,28,2,Extraction de matériaux
AS18_72,Spez_053_NE,29,1,Chantiers
AS18_72,Spez_053_NE,41,194,Terres arables
AS18_72,Spez_053_NE,42,19,Prairies naturelles
AS18_72,Spez_053_NE,43,9,Pâturages locaux
AS18_72,Spez_053_NE,46,18,Alpages favorables
AS18_72,Spez_053_NE,50,95,Forêt normale
AS18_72,Spez_053_NE,51,7,Bande de forêt
AS18_72,Spez_053_NE,53,4,Coupes de bois
AS18_72,Spez_053_NE,55,6,Forêt clairsemée (sur surfaces agricoles)
AS18_72,Spez_053_NE,58,2,"Bosquets, haies"
AS18_72,Spez_053_NE,59,5,Groupes d'arbres (sur surfaces agricoles)
AS18_72,Spez_053_NE,62,2,Cours d’eau
AS18_72,Spez_053_NE,67,2,Zones humides
AS18_72,Spez_054_NW,3,2,Maisons individuelles et maisons de deux logements
AS18_72,Spez_054_NW,4,3,Terrains attenants aux maisons individuelles et aux maisons de deux logements
AS18_72,Spez_054_NW,8,1,Terrains attenants aux immeubles résidentiels
AS18_72,Spez_054_NW,10,1,Terrains attenants aux bâtiments publics
AS18_72,Spez_054_NW,12,3,Terrains attenants aux bâtiments agricoles
AS18_72,Spez_054_NW,14,2,Terrains attenants aux bâtiments non déterminés
AS18_72,Spez_054_NW,17,7,"Routes, chemins"
AS18_72,Spez_054_NW,18,2,Bordures de routes
AS18_72,Spez_054_NW,19,1,Aires de parc de stationnement
AS18_72,Spez_054_NW,29,6,Chantiers
AS18_72,Spez_054_NW,31,1,Parcs publics
AS18_72,Spez_054_NW,33,11,Terrains de golf
AS18_72,Spez_054_NW,38,2,Arbres fruitiers de plein champ
AS18_72,Spez_054_NW,40,1,Horticulture
AS18_72,Spez_054_NW,42,161,Prairies naturelles
AS18_72,Spez_054_NW,43,87,Pâturages locaux
AS18_72,Spez_054_NW,44,1,Prés et pâturages locaux embroussaillés
AS18_72,Spez_054_NW,50,156,Forêt normale
AS18_72,Spez_054_NW,51,8,Bande de forêt
AS18_72,Spez_054_NW,53,12,Coupes de bois
AS18_72,Spez_054_NW,55,1,Forêt clairsemée (sur surfaces agricoles)
AS18_72,Spez_054_NW,56,1,Forêt clairsemée (sur surfaces improductives)
AS18_72,Spez_054_NW,58,9,"Bosquets, haies"
AS18_72,Spez_054_NW,59,13,Groupes d'arbres (sur surfaces agricoles)
AS18_72,Spez_055_OW,12,1,Terrains attenants aux bâtiments agricoles
AS18_72,Spez_055_OW,45,2,Alpages fauchés
